	
CREATE TABLE 'database_1' (data TEXT, id_marca INTEGER, vendas INTEGER, valor_do_veiculo INTEGER, nome TEXT);	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '1', '40', '29000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '1', '2', '49000', 'argo');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '1', '3', '19000', 'Uno');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '2', '35', '35000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '3', '42', '32000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '2', '2', '40000', 'Gol');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '7', '4', '60000', 'Lancer');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '2', '1', '35000', 'Kombi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '9', '2', '45200', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '10', '1', '270000', 'E-J7');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-01-01', '11', '5', '70000', 'Captur');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '1', '1', '8000', 'Palio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '2', '40', '35000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '1', '52', '29000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '3', '30', '36000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '5', '15', '45000', 'Yaris');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '6', '2', '28000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '7', '7', '240000', 'L200');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '2', '6', '30000', 'Gol');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '3', '4', '41000', 'Cerato');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '10', '6', '145000', 'E-JS1');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-02-01', '11', '3', '60000', 'Duster');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '1', '1', '10000', 'Uno');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '2', '30', '35000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '3', '25', '145000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '4', '20', '79000', '208');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '1', '30', '30000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '2', '1', '28000', 'Gol');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '7', '1', '75000', 'Lancer');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '8', '2', '300000', 'Forester');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '9', '3', '45000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '10', '5', '25000', 'J5');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-03-01', '11', '1', '30000', 'Sandero');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '1', '40', '28000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '2', '45', '30000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '3', '30', '26000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '4', '25', '85000', '208');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '1', '1', '12000', 'Palio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '6', '5', '30000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '7', '1', '124000', 'Eclipse');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '8', '4', '320000', 'XV');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '2', '1', '99000', 'Polo');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '10', '1', '14000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-04-01', '11', '5', '25000', 'Clio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '1', '50', '25000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '2', '45', '29000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '3', '35', '19000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '1', '2', '28000', 'argo');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '5', '3', '35000', 'Yaris');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '6', '7', '22000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '2', '2', '90000', 'T-Cross');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '8', '4', '320000', 'Forester');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '9', '3', '40000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '10', '2', '12000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-05-01', '11', '5', '18000', 'Clio');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '1', '45', '26000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '2', '35', '30000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '3', '30', '20000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '4', '20', '78000', '208');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '1', '2', '20000', 'Uno');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '6', '3', '23000', 'March');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '7', '8', '160000', 'Pajero');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '1', '4', '80000', 'Cronos');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '9', '8', '42000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '10', '1', '13000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-06-01', '11', '3', '80000', 'Sandero RS');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '1', '40', '32000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '2', '35', '35000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '3', '38', '18000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '4', '6', '80000', '2008');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '5', '20', '140000', 'Corolla');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '2', '1', '120000', 'Jetta');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '7', '3', '75000', 'Lancer');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '8', '15', '250000', 'WRX');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '9', '3', '55000', 'onix');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '10', '4', '10000', 'J2');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-07-01', '11', '8', '35000', 'Duster');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '1', '25', '35000', 'Mobi');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '2', '20', '38000', 'Up');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '3', '22', '33000', 'Picanto');	
INSERT INTO 'database_1' (data, id_marca, vendas, valor_do_veiculo, nome) VALUES ('2022-08-01', '4', '10', '78000', '208');	
